"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","4.830","4.720","5.100","4.610","2,71B","2,33%"
"01/10/2025","4.720","4.360","4.830","4.010","4,36B","7,27%"
"01/09/2025","4.400","4.550","4.750","4.310","3,89B","-6,98%"
"01/08/2025","4.730","4.570","4.980","4.510","2,97B","4,88%"
"01/07/2025","4.510","4.900","4.990","4.510","3,87B","-7,58%"
"01/06/2025","4.880","5.200","5.300","4.800","2,50B","-7,92%"
"01/05/2025","5.300","4.980","5.575","4.750","2,87B","8,38%"
"01/04/2025","4.890","4.500","5.225","4.500","4,40B","-5,96%"
"01/03/2025","5.200","4.750","5.250","4.250","4,63B","13,04%"
"01/02/2025","4.600","5.975","6.000","4.550","4,86B","-23,65%"
"01/01/2025","6.025","5.700","6.300","5.400","2,01B","5,70%"
"01/12/2024","5.700","6.175","6.450","5.600","1,92B","-7,32%"
"01/11/2024","6.150","6.725","6.950","6.100","2,15B","-8,21%"
"01/10/2024","6.700","7.000","7.300","6.575","1,85B","-3,25%"
"01/09/2024","6.925","7.200","7.550","6.875","1,93B","-2,81%"
"01/08/2024","7.125","6.550","7.350","6.500","2,26B","11,33%"
"01/07/2024","6.400","6.175","6.750","6.100","2,10B","4,07%"
"01/06/2024","6.150","6.075","6.350","5.650","2,15B","4,24%"
"01/05/2024","5.900","6.800","6.800","5.525","3,33B","-14,49%"
"01/04/2024","6.900","7.250","7.250","6.300","1,79B","-4,83%"
"01/03/2024","7.250","7.050","7.500","6.950","1,79B","3,57%"
"01/02/2024","7.000","6.575","7.400","6.500","2,11B","5,26%"
"01/01/2024","6.650","6.050","6.700","6.025","1,98B","9,92%"
"01/12/2023","6.050","5.850","6.150","5.650","1,51B","3,42%"
"01/11/2023","5.850","5.700","5.975","5.625","1,19B","3,08%"
"01/10/2023","5.675","6.025","6.200","5.625","1,61B","-5,81%"
"01/09/2023","6.025","6.075","6.150","5.775","1,42B","0,00%"
"01/08/2023","6.025","5.650","6.100","5.600","1,88B","5,24%"
"01/07/2023","5.725","5.125","5.800","5.125","2,21B","10,10%"
"01/06/2023","5.200","5.100","5.250","4.950","1,79B","2,97%"
"01/05/2023","5.050","5.250","5.250","4.980","1,82B","-2,42%"
"01/04/2023","5.175","5.200","5.425","5.050","1,28B","0,24%"
"01/03/2023","5.163","5.075","5.475","4.913","2,42B","3,25%"
"01/02/2023","5.000","4.975","5.275","4.788","1,72B","0,50%"
"01/01/2023","4.975","4.963","5.075","4.450","2,12B","0,25%"
"01/12/2022","4.963","5.263","5.500","4.888","2,66B","-5,70%"
"01/11/2022","5.263","5.300","5.400","4.925","1,97B","-0,24%"
"01/10/2022","5.275","4.663","5.275","4.613","1,78B","11,94%"
"01/09/2022","4.713","4.425","4.800","4.338","2,47B","6,50%"
"01/08/2022","4.425","4.100","4.425","3.988","1,86B","6,95%"
"01/07/2022","4.138","3.938","4.175","3.588","2,54B","4,42%"
"01/06/2022","3.963","4.163","4.250","3.950","2,61B","-6,76%"
"01/05/2022","4.250","4.313","4.338","3.863","2,87B","-5,03%"
"01/04/2022","4.475","3.950","4.538","3.788","2,69B","13,29%"
"01/03/2022","3.950","3.838","4.050","3.750","3,22B","2,60%"
"01/02/2022","3.850","3.763","3.975","3.675","1,61B","3,01%"
"01/01/2022","3.738","3.550","3.888","3.463","1,45B","6,41%"
"01/12/2021","3.513","3.500","3.675","3.475","1,23B","0,36%"
"01/11/2021","3.500","3.625","3.750","3.425","1,89B","-2,44%"
"01/10/2021","3.588","3.075","3.663","3.025","2,59B","16,67%"
"01/09/2021","3.075","3.050","3.175","2.950","1,54B","0,82%"
"01/08/2021","3.050","2.888","3.088","2.813","1,45B","7,02%"
"01/07/2021","2.850","2.975","3.050","2.825","1,35B","-3,39%"
"01/06/2021","2.950","3.075","3.175","2.838","1,97B","-1,67%"
"01/05/2021","3.000","3.050","3.075","2.800","1,53B","-2,83%"
"01/04/2021","3.088","3.125","3.275","2.975","1,62B","0,41%"
"01/03/2021","3.075","3.113","3.425","3.063","2,36B","0,00%"
"01/02/2021","3.075","3.325","3.400","3.050","2,38B","-6,46%"
"01/01/2021","3.288","3.175","3.725","3.113","2,59B","3,95%"
"01/12/2020","3.163","3.163","3.438","3.100","2,17B","0,00%"
"01/11/2020","3.163","2.838","3.400","2.800","3,15B","9,52%"
"01/10/2020","2.888","2.500","2.925","2.490","1,77B","16,43%"
"01/09/2020","2.480","2.988","3.100","2.430","2,49B","-16,64%"
"01/08/2020","2.975","2.925","3.175","2.725","1,96B","2,59%"
"01/07/2020","2.900","2.500","3.000","2.450","1,80B","17,17%"
"01/06/2020","2.475","2.275","2.725","2.215","3,94B","10,74%"
"01/05/2020","2.235","2.230","2.245","1.830","2,82B","0,22%"
"01/04/2020","2.230","2.325","2.800","2.000","3,14B","-4,70%"
"01/03/2020","2.340","3.575","3.825","1.890","3,62B","-35,67%"
"01/02/2020","3.638","3.700","4.025","3.275","2,23B","-3,64%"
"01/01/2020","3.775","3.838","4.000","3.688","1,97B","-1,63%"
"01/12/2019","3.838","3.488","3.913","3.463","1,82B","10,04%"
